地域 コード,調査年,F1102_就業者数【人】
0,2015,"58,919,036"
1000,2015,"2,435,098"
2000,2015,"625,970"
3000,2015,"636,329"
4000,2015,"1,077,927"
5000,2015,"482,867"
6000,2015,"562,087"
7000,2015,"922,133"
8000,2015,"1,400,684"
9000,2015,"963,969"
10000,2015,"966,060"
11000,2015,"3,484,648"
12000,2015,"2,879,944"
13000,2015,"5,858,959"
14000,2015,"4,121,817"
15000,2015,"1,140,840"
16000,2015,"538,839"
17000,2015,"572,661"
18000,2015,"399,169"
19000,2015,"408,814"
20000,2015,"1,069,860"
21000,2015,"1,015,916"
22000,2015,"1,865,154"
23000,2015,"3,668,611"
24000,2015,"872,773"
25000,2015,"677,976"
26000,2015,"1,192,645"
27000,2015,"3,777,655"
28000,2015,"2,443,786"
29000,2015,"590,818"
30000,2015,"445,326"
31000,2015,"280,925"
32000,2015,"342,994"
33000,2015,"900,871"
34000,2015,"1,336,568"
35000,2015,"645,035"
36000,2015,"342,906"
37000,2015,"452,644"
38000,2015,"642,741"
39000,2015,"323,408"
40000,2015,"2,254,095"
41000,2015,"410,237"
42000,2015,"644,154"
43000,2015,"834,257"
44000,2015,"546,167"
45000,2015,"519,210"
46000,2015,"753,855"
47000,2015,"589,634"
0,2010,"59,611,311"
1000,2010,"2,509,464"
2000,2010,"639,584"
3000,2010,"631,303"
4000,2010,"1,059,416"
5000,2010,"503,106"
6000,2010,"565,982"
7000,2010,"934,331"
8000,2010,"1,420,181"
9000,2010,"977,126"
10000,2010,"965,403"
11000,2010,"3,482,305"
12000,2010,"2,899,396"
13000,2010,"6,012,536"
14000,2010,"4,146,942"
15000,2010,"1,155,795"
16000,2010,"546,363"
17000,2010,"582,449"
18000,2010,"402,251"
19000,2010,"414,569"
20000,2010,"1,091,038"
21000,2010,"1,022,616"
22000,2010,"1,897,194"
23000,2010,"3,676,174"
24000,2010,"895,097"
25000,2010,"673,612"
26000,2010,"1,219,370"
27000,2010,"3,815,052"
28000,2010,"2,489,617"
29000,2010,"596,525"
30000,2010,"450,969"
31000,2010,"287,332"
32000,2010,"347,889"
33000,2010,"900,116"
34000,2010,"1,343,318"
35000,2010,"665,489"
36000,2010,"347,093"
37000,2010,"462,418"
38000,2010,"651,605"
39000,2010,"335,775"
40000,2010,"2,262,722"
41000,2010,"409,277"
42000,2010,"650,972"
43000,2010,"834,244"
44000,2010,"550,451"
45000,2010,"531,213"
46000,2010,"776,993"
47000,2010,"578,638"
0,2005,"61,505,973"
1000,2005,"2,604,271"
2000,2005,"685,401"
3000,2005,"688,614"
4000,2005,"1,107,773"
5000,2005,"549,994"
6000,2005,"612,089"
7000,2005,"1,010,120"
8000,2005,"1,461,560"
9000,2005,"1,017,139"
10000,2005,"1,015,579"
11000,2005,"3,509,189"
12000,2005,"2,948,581"
13000,2005,"5,915,533"
14000,2005,"4,314,535"
15000,2005,"1,225,575"
16000,2005,"578,051"
17000,2005,"596,324"
18000,2005,"423,959"
19000,2005,"444,200"
20000,2005,"1,150,880"
21000,2005,"1,071,054"
22000,2005,"1,990,647"
23000,2005,"3,707,828"
24000,2005,"922,622"
25000,2005,"680,478"
26000,2005,"1,248,020"
27000,2005,"3,954,211"
28000,2005,"2,553,965"
